driverId,week,hours-logged,miles-logged
841,37,78,100
143,14,63,100
794,45,61,1300
311,29,57,2500
180,19,64,1500
951,40,61,1600
112,6,55,3300
758,14,63,1200
80,6,76,2600
793,17,72,3500
654,21,59,2900
802,48,64,2900
865,31,65,1700
830,32,61,3900
649,37,58,3000
130,43,73,1900
864,41,76,3700
77,15,54,3200
499,45,66,2900
995,43,64,1500
832,44,54,2000
322,29,55,900
480,4,76,3900
108,42,69,2500
282,23,80,100
222,31,53,100
689,40,78,1800
954,24,54,3000
954,29,53,500
380,50,68,2000
185,1,64,700
478,27,62,1600
668,48,50,3800
103,38,66,2700
680,1,62,300
953,44,62,1100
813,25,51,2100
105,14,71,2500
848,38,68,2600
688,35,74,1100
853,18,62,2600
773,33,73,2400
693,4,52,3600
899,42,70,2700
450,30,54,2200
545,27,77,2400
598,8,73,900
413,6,60,800
941,34,63,3100
982,12,62,900
620,19,75,600
916,28,54,4000
556,37,55,3100
906,35,63,3300
202,37,65,0
389,29,57,1100
469,37,52,2800
341,41,63,3700
380,4,66,3100
616,45,65,3900
92,28,56,800
935,48,68,400
622,2,74,1000
667,7,55,800
900,4,80,2900
622,8,55,1000
181,14,63,2700
224,47,52,3300
680,47,66,3500
812,15,80,0
472,32,78,2300
86,33,51,1200
171,43,53,300
498,13,77,2200
820,27,79,300
47,38,67,2000
973,30,52,2400
369,33,60,400
236,3,68,2400
264,45,71,400
630,14,50,2600
571,36,57,300
425,6,74,100
824,35,52,2600
19,14,75,1200
525,40,75,1100
760,39,69,400
156,49,80,200
249,29,68,500
74,26,76,0
958,22,78,2100
297,18,68,1700
470,19,72,3800
981,22,50,100
651,50,58,2100
868,41,57,1600
337,51,66,0
319,10,54,500
112,5,79,800
327,6,57,1400
490,49,57,200
905,6,77,3700
156,34,54,2200
811,35,74,500
330,6,66,1200
770,26,58,3200
703,26,51,2400
393,50,77,1100
50,15,57,1700
506,39,63,1300
198,34,59,2600
239,21,77,2200
255,25,68,3400
171,30,78,1400
629,36,76,3100
973,35,56,3000
133,31,66,3000
531,33,60,300
536,52,65,2700
164,24,53,3300
647,46,70,0
17,12,52,1800
170,41,61,400
293,47,60,3400
733,34,76,1700
416,14,60,2400
711,20,50,2800
934,33,79,3600
700,35,58,4000
505,47,77,800
883,40,56,3600
62,22,59,3400
365,26,72,200
517,27,65,2900
22,35,63,1800
781,22,58,3700
688,21,69,2100
618,20,54,3000
759,19,62,3900
361,33,63,3700
974,13,52,1600
966,37,64,3100
108,29,62,1000
500,21,65,2700
913,36,73,1100
977,7,71,2900
913,50,76,3800
336,5,78,4000
249,33,64,3500
788,31,80,300
873,6,56,1700
725,12,65,1800
319,39,52,800
1005,12,74,100
118,31,75,2200
544,47,56,1000
758,19,50,3300
980,11,50,3600
683,21,69,2600
622,17,80,3900
291,1,77,3900
846,29,66,200
72,3,75,700
875,27,68,1300
790,24,52,2600
966,26,68,1900
837,30,54,3900
356,13,68,2000
264,5,59,1900
668,22,68,100
560,43,54,3200
68,19,59,1800
412,12,54,1200
997,5,71,1900
653,32,80,3000
127,8,53,1900
164,50,56,2100
126,3,73,1500
474,4,80,500
568,29,58,400
173,51,75,600
103,11,64,2400
192,7,59,1700
349,15,54,3100
58,13,53,700
899,40,63,1500
943,48,76,3800
530,39,64,200
46,36,66,2800
550,47,60,1000
994,42,51,300
307,49,63,1200
514,23,72,100
723,2,66,2600
20,26,66,0
820,45,80,1900
363,48,64,300
619,17,75,4000
270,24,65,1400
996,38,73,2800
740,26,55,1000
604,23,62,2300
756,1,76,0
525,18,56,200
958,42,80,3100
932,15,59,600
807,35,60,2300
472,49,59,1900
489,16,57,4000
128,33,51,1000
914,15,62,400
260,37,66,1000
217,49,56,0
364,51,55,1900
707,15,56,3500
603,11,54,1800
226,11,64,3300
654,44,75,3000
906,52,73,0
508,6,62,1300
991,46,64,1900
992,18,75,2000
540,16,60,1300
430,43,74,2900
922,11,72,100
819,7,64,2000
55,35,65,3700
485,6,51,1800
504,37,59,4000
316,29,72,0
82,33,56,3500
117,33,72,3200
866,14,74,4000
40,7,79,800
130,10,70,3700
303,27,57,2900
485,1,69,1900
707,6,58,200
348,3,70,2100
834,6,54,2600
390,16,60,1100
936,37,77,1300
788,9,60,2900
463,18,79,800
816,46,71,3800
899,10,73,3000
530,19,60,200
630,9,58,0
152,26,54,2600
109,40,73,1800
900,13,53,100
531,31,78,2100
924,25,51,2600
803,35,79,4000
228,10,65,500
73,22,62,700
69,7,71,2400
915,30,54,2200
892,9,67,1800
413,8,50,3000
851,25,60,2500
258,20,70,2400
484,12,72,1700
420,49,66,2400
414,9,53,3800
714,47,79,3300
669,17,75,2200
730,46,64,2100
774,17,57,1600
845,26,57,800
920,15,64,1300
151,7,73,2000
501,43,67,3900
420,43,71,900
240,33,58,500
135,37,80,3400
604,44,78,3400
830,27,71,3300
257,4,56,2600
496,19,72,2900
57,1,57,3800
161,19,62,1900
623,22,54,1100
112,29,67,2800
735,15,67,400
651,6,80,3600
315,19,70,1300
306,52,72,3700
63,29,50,3300
811,4,66,3700
1006,34,78,800
632,12,52,4000
221,15,69,2000
174,17,55,1900
613,2,73,300
712,7,68,2900
254,17,74,500
692,9,79,2400
74,23,58,900
644,42,59,4000
369,16,75,1300
982,38,70,1100
1008,25,62,3400
37,21,63,1800
121,40,56,1300
196,26,58,1800
574,47,75,300
819,5,71,3800
947,3,58,400
768,4,75,3700
539,32,56,3500
112,36,75,1900
567,29,80,1900
739,10,63,4000
453,9,76,3600
815,13,63,2400
855,7,80,2400
559,14,67,3700
10,28,67,1000
746,24,57,200
326,14,70,2700
191,13,68,3400
313,29,71,2500
881,7,63,800
97,23,68,3700
19,3,78,500
411,38,54,3600
930,45,75,1600
422,5,73,200
40,20,62,1900
86,10,71,100
90,4,58,800
459,43,60,3400
735,51,68,3300
919,3,62,0
627,6,55,100
474,44,74,1500
758,47,54,1400
198,7,70,2100
474,51,51,2100
929,12,75,1500
35,38,72,3500
177,27,68,500
1006,32,58,1800
841,7,76,900
396,21,52,3500
914,31,75,2800
962,38,52,2400
202,26,74,2600
863,11,58,1300
743,45,53,3700
617,14,52,300
284,40,57,2100
411,6,65,500
126,11,78,200
701,2,77,1700
843,22,55,1900
224,28,63,3200
509,42,56,1000
80,52,55,1500
170,36,50,2500
192,38,58,1000
291,16,79,1700
869,39,80,0
372,48,53,2400
741,24,72,1200
415,12,78,1300
318,7,57,1500
619,8,80,3800
886,4,69,1400
986,27,61,0
168,34,53,800
136,27,51,1600
814,14,79,800
107,17,69,0
489,8,56,1300
128,25,67,3900
830,30,52,2800
458,16,58,1400
109,3,52,3100
528,5,75,100
501,49,80,400
140,41,68,3000
166,34,74,1600
396,43,53,3200
148,16,68,2600
859,18,60,200
537,16,61,3500
649,50,77,3700
664,10,77,1200
325,33,55,2800
848,10,76,4000
201,42,72,2000
23,45,58,400
202,10,74,2900
382,40,64,1100
157,33,57,400
613,15,70,100
240,14,53,2200
793,47,57,300
852,38,76,1400
438,21,51,3200
395,52,75,3200
751,16,79,3300
294,32,61,0
631,39,58,100
90,40,53,900
940,2,67,2100
625,18,63,300
390,11,75,0
